contract_id,filename,title,allowed_roles,source,char_count,word_count
cuad_0000,cuad_0000.txt,Contract_0000,"admin,legal,finance",CUAD,32360,5013
cuad_0001,cuad_0001.txt,Contract_0001,"admin,viewer",CUAD,28554,4045
cuad_0002,cuad_0002.txt,Contract_0002,"admin,legal",CUAD,33426,5276
cuad_0003,cuad_0003.txt,Contract_0003,"admin,legal",CUAD,106775,16673
cuad_0004,cuad_0004.txt,Contract_0004,"admin,viewer",CUAD,18488,2899
cuad_0005,cuad_0005.txt,Contract_0005,"admin,legal,hr",CUAD,22636,3607
cuad_0006,cuad_0006.txt,Contract_0006,"admin,legal,hr",CUAD,17641,2708
cuad_0007,cuad_0007.txt,Contract_0007,"admin,legal",CUAD,69086,10729
cuad_0008,cuad_0008.txt,Contract_0008,"admin,legal,hr",CUAD,12034,1850
cuad_0009,cuad_0009.txt,Contract_0009,"admin,viewer",CUAD,24164,3740
cuad_0010,cuad_0010.txt,Contract_0010,"admin,legal",CUAD,28765,4467
cuad_0011,cuad_0011.txt,Contract_0011,"admin,legal,finance",CUAD,26448,4070
cuad_0012,cuad_0012.txt,Contract_0012,"admin,legal,finance",CUAD,39721,6272
cuad_0013,cuad_0013.txt,Contract_0013,"admin,legal,finance",CUAD,60182,9075
cuad_0014,cuad_0014.txt,Contract_0014,"admin,legal",CUAD,32012,5039
cuad_0015,cuad_0015.txt,Contract_0015,"admin,legal,finance",CUAD,40875,6492
cuad_0016,cuad_0016.txt,Contract_0016,"admin,viewer",CUAD,47174,7249
cuad_0017,cuad_0017.txt,Contract_0017,"admin,legal",CUAD,22294,3545
cuad_0018,cuad_0018.txt,Contract_0018,"admin,viewer",CUAD,98926,14682
cuad_0019,cuad_0019.txt,Contract_0019,"admin,legal",CUAD,53161,8078
cuad_0020,cuad_0020.txt,Contract_0020,"admin,viewer",CUAD,7365,1169
cuad_0021,cuad_0021.txt,Contract_0021,"admin,finance",CUAD,86746,13393
cuad_0022,cuad_0022.txt,Contract_0022,"admin,viewer",CUAD,90525,13370
cuad_0023,cuad_0023.txt,Contract_0023,"admin,legal",CUAD,85988,12480
cuad_0024,cuad_0024.txt,Contract_0024,"admin,legal",CUAD,19029,3025
cuad_0025,cuad_0025.txt,Contract_0025,"admin,viewer",CUAD,839,123
cuad_0026,cuad_0026.txt,Contract_0026,"admin,viewer",CUAD,2529,395
cuad_0027,cuad_0027.txt,Contract_0027,"admin,legal,finance",CUAD,38065,5582
cuad_0028,cuad_0028.txt,Contract_0028,"admin,viewer",CUAD,43488,6718
cuad_0029,cuad_0029.txt,Contract_0029,"admin,viewer",CUAD,76809,11730
cuad_0030,cuad_0030.txt,Contract_0030,"admin,legal",CUAD,45087,6614
